id,zip,stratum2,region,stratum2014,region2014,r_stratum2014,psu,ssu,wsel0,wsel,wr_19_4,wr_19_5,wave,qtype,year,year_m,sd,sh,sm,gender,birth_year,birth_place,birth_place_code,before15_place,before15_place_code,religion,edu,marriage,taiwanese_or_chinese,taiwan_indep,political_party,social_class,pre_ele_101,pre_ele_97,month_income,mothe_house_income
100132,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,1.0902374,1.0644274,"0605","卷一",2014,103,14 Oct 14,15,55,"男性",69,"花蓮縣","花蓮縣瑞穗鄉","臺北市","台北市中正區","基督教","大學","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,看情形再決定獨立或統一","民進黨(跳答h7)","05","沒有去投票","有","2-3萬元以下","12-13萬元以下"
100138,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,1,.82113796,.79323453,.95656767,.93260118,"0605","卷一",2014,103,24 Aug 14,14,23,"男性",39,"臺北市","台北市中正區","臺北市","台北市中正區","基督教","大學","已婚但沒有與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","泛綠","06","沒有去投票","有","9-10萬元以下","9-10萬元以下"
100202,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.0331034,1.358568,"0605","卷一",2014,103,13 Oct 14,13,50,"女性",28,"高雄市","高雄市美濃區","高雄市","高雄市美濃區","佛教,有皈依","小學","已婚且與配偶同住","兩者都是:是中國人也是台灣人","永遠維持現狀","國民黨(跳答h7)","無法選擇","有,投給馬英九","沒有","1萬元以下","1-2萬元以下"
100205,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,.95656767,.93260118,"0605","卷一",2014,103,19 Aug 14,15,28,"男性",42,"基隆市","基隆市仁愛區","基隆市","基隆市仁愛區","佛教,未皈依","大學","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","04","有,投給馬英九","沒有","無收入","4-5萬元以下"
100209,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.1157603,1.12534,"0605","卷一",2014,103,16 Aug 14,19,45,"女性",70,"彰化縣","彰化縣鹿港鎮","臺北市","台北市中正區","道教","大學","單身且從沒結過婚(跳答b8)","兩者都是:是台灣人也是中國人","永遠維持現狀","都沒有___都支持","04","有,投給馬英九","有","30萬元以上","100萬元以上"
100212,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,.97924591,.95557672,"0605","卷一",2014,103,12 Oct 14,16,57,"男性",84,"臺北市","台北市","臺北市","台北市大安區","沒有宗教信仰","技術學院,科大","單身且從沒結過婚(跳答b8)","台灣人","儘快獨立","都沒有___都支持","07","當時未滿20歲(跳答h10)","當時未滿20歲","1萬元以下","20-30萬元以下"
100214,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.2606663,1.2496505,"0605","卷一",2014,103,19 Oct 14,14,8,"女性",39,"高雄市","高雄市左營區","高雄市","高雄市左營區","民間信仰","國(初)中","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","民進黨(跳答h7)","10最頂層","有,投給蔡英文","有","6-7萬元以下","不知道"
100216,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.2987633,1.5099582,"0605","卷一",2014,103,12 Aug 14,20,24,"女性",31,"臺北市","台北市大同區","臺北市","台北市大同區","天主教","大學","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","05","有,投給宋楚瑜","有","7-8萬元以下","19-20萬元以下"
100219,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.2026001,1.1685319,"0605","卷一",2014,103,12 Oct 14,14,17,"男性",53,"臺中市","台中市南屯區","新北市","新北市新莊區","沒有宗教信仰","大學","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","親民黨(跳答h7)","06","沒有去投票","有","5-6萬元以下","9-10萬元以下"
100229,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.1633388,1.1584518,"0605","卷一",2014,103,20 Oct 14,18,58,"女性",43,"新北市","新北市汐止區","新北市","新北市汐止區","佛教,未皈依","高職","已婚且與配偶同住","台灣人","永遠維持現狀","民進黨(跳答h7)","07","有,但拒答或忘記投給誰","有","2-3萬元以下","2-3萬元以下"
100232,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.2026001,1.1685319,"0605","卷一",2014,103,24 Aug 14,21,33,"男性",60,"臺北市","台北市中正區","臺北市","台北市中正區","佛教,未皈依","二專","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","泛綠","05","有,投給蔡英文","有","5-6萬元以下","10-11萬元以下"
100234,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.0902374,1.0644274,"0605","卷一",2014,103,25 Aug 14,21,11,"男性",69,"臺中市","台中市","臺北市","台北市大安區","沒有宗教信仰","碩士","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","都沒有___都支持","09","有,投給宋楚瑜","有","19-20萬元以下","19-20萬元以下"
100236,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.362104,1.3624085,"0605","卷一",2014,103,16 Aug 14,19,17,"女性",53,"雲林縣","雲林縣水林鄉","雲林縣","雲林縣水林鄉","佛教,有皈依","高職","單身且從沒結過婚(跳答b8)","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","05","有,投給馬英九","沒有","2-3萬元以下","8-9萬元以下"
100237,"台北市中正區","都會核心","北北基",1,"北北基宜",11,1,2,.82113796,.79323453,1.0902374,1.0644274,"0605","卷一",2014,103,18 Aug 14,19,14,"男性",72,"新北市","新北市泰山區","新北市","新北市泰山區","沒有宗教信仰","大學","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","03","沒有去投票","沒有去投票","5-6萬元以下","5-6萬元以下"
104101,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.72819001,.79901547,"0605","卷一",2014,103,09 Aug 14,15,20,"男性",45,"彰化縣","彰化縣和美鎮","彰化縣","彰化縣和美鎮","佛教,未皈依","小學","離婚(跳答b8)","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","01最底層","有,但拒答或忘記投給誰","沒有","3-4萬元以下","3-4萬元以下"
104103,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,1.0368596,1.0353937,"0605","卷一",2014,103,31 Aug 14,21,8,"女性",44,"臺北市","台北市中正區","臺北市","台北市中正區","佛教,未皈依","高中普通科","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","國民黨(跳答h7)","05","有,投給馬英九","有","3-4萬元以下","9-10萬元以下"
104105,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.97170582,.95135714,"0605","卷一",2014,103,31 Aug 14,17,10,"男性",71,"臺北市","台北市中山區","基隆市","基隆市信義區","道教","碩士","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","無黨籍(跳答h7)","03","有,投給蔡英文","有","3-4萬元以下","14-15萬元以下"
104107,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.91544223,.8880527,"0605","卷一",2014,103,04 Oct 14,9,4,"男性",47,"桃園縣","桃園縣桃園市","高雄市","高雄市新興區","道教","大學","已婚且與配偶同住","台灣人","維持現狀,以後走向統一","國民黨(跳答h7)","08","有,投給馬英九","有","15-16萬元以下","15-16萬元以下"
104118,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.96564712,.97182994,"0605","卷一",2014,103,25 Sep 14,18,10,"女性",38,"臺北市","台北市大同區","臺北市","台北市大同區","佛教,未皈依","高中普通科","單身且從沒結過婚(跳答b8)","兩者都是:是台灣人也是中國人","永遠維持現狀","國民黨(跳答h7)","03","有,投給馬英九","忘記有沒有領公投票","4-5萬元以下","6-7萬元以下"
104126,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.99445387,1.0057992,"0605","卷一",2014,103,29 Sep 14,21,57,"女性",68,"嘉義市","嘉義市","臺北市","台北市中山區","一貫道","大學","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,以後走向獨立","都沒有___都支持","04","有,投給馬英九","忘記有沒有領公投票","3-4萬元以下","7-8萬元以下"
104127,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.87278143,.85406927,"0605","卷一",2014,103,10 Oct 14,11,57,"男性",77,"臺北市","台北市中山區","臺北市","台北市中山區","基督教","三專","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,以後走向獨立","無黨籍(跳答h7)","05","有,投給蔡英文","當時未滿20歲","2-3萬元以下","5-6萬元以下"
104128,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.99445387,1.0057992,"0605","卷一",2014,103,03 Oct 14,13,2,"女性",71,"高雄市","高雄市楠梓區","高雄市","高雄市楠梓區","佛教,有皈依","碩士","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","05","有,投給馬英九","沒有","4-5萬元以下","不知道"
104130,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,1.014218,1.0135149,"0605","卷一",2014,103,30 Sep 14,13,10,"女性",65,"其他","天津市","其他","天津市","沒有宗教信仰","其他,請說明","離婚(跳答b8)","兩者都是:是中國人也是台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","06","有,投給馬英九","沒有","2-3萬元以下","2-3萬元以下"
104131,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.99445387,1.0057992,"0605","卷一",2014,103,17 Aug 14,16,3,"女性",66,"彰化縣","彰化縣鹿港鎮","彰化縣","彰化縣鹿港鎮","沒有宗教信仰","大學","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,以後走向獨立","都沒有___都支持","05","有,投給宋楚瑜","沒有","7-8萬元以下","7-8萬元以下"
104132,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.87278143,.85406927,"0605","卷一",2014,103,02 Oct 14,20,50,"男性",84,"臺北市","台北市中山區","臺北市","台北市中山區","道教","三專","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","01最底層","當時未滿20歲(跳答h10)","當時未滿20歲","1萬元以下","8-9萬元以下"
104135,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,1.0718524,1.044403,"0605","卷一",2014,103,25 Sep 14,21,18,"男性",54,"臺東縣","台東縣台東市","臺東縣","台東縣台東市","民間信仰","大學","離婚(跳答b8)","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","07","有,但拒答或忘記投給誰","忘記有沒有領公投票","拒答","拒答"
104136,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.74523725,.84473968,"0605","卷一",2014,103,05 Aug 14,16,13,"女性",49,"臺北市","台北市大同區","臺北市","台北市大同區","佛教,未皈依","小學","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","民進黨(跳答h7)","01最底層","有,但拒答或忘記投給誰","有","1萬元以下","1萬元以下"
104139,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.87278143,.85406927,"0605","卷一",2014,103,04 Oct 14,19,10,"男性",74,"臺北市","台北市","臺北市","台北市","沒有宗教信仰","大學","單身且從沒結過婚(跳答b8)","都不是,請說明","維持現狀,看情形再決定獨立或統一","都沒有___都支持","08","沒有去投票","有","6-7萬元以下","6-7萬元以下"
104140,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.87278143,.85406927,"0605","卷一",2014,103,14 Sep 14,18,44,"男性",76,"臺北市","台北市中山區","臺北市","台北市中山區","民間信仰","碩士","單身且從沒結過婚(跳答b8)","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","05","有,投給馬英九","沒有","1-2萬元以下","6-7萬元以下"
104141,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.91544223,.8880527,"0605","卷一",2014,103,17 Aug 14,17,30,"男性",44,"臺北市","台北市中山區","臺北市","台北市中山區","佛教,未皈依","大學","離婚(跳答b8)","兩者都是:是台灣人也是中國人","永遠維持現狀","都沒有___都支持","05","沒有去投票","沒有","3-4萬元以下","3-4萬元以下"
104144,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,1,.72668409,.70199033,.67817723,.74996317,"0605","卷一",2014,103,06 Oct 14,15,56,"男性",39,"臺南市","台南市","臺南市","台南市","民間信仰","小學","離婚(跳答b8)","台灣人","永遠維持現狀","民進黨(跳答h7)","05","有,投給蔡英文","沒有","1-2萬元以下","1-2萬元以下"
104201,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,1.0131415,.97934974,"0605","卷一",2014,103,25 Sep 14,10,0,"男性",49,"宜蘭縣","宜蘭縣南澳鄉","臺北市","台北市南港區","佛教,未皈依","高職","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","05","沒有去投票","有","4-5萬元以下","7-8萬元以下"
104205,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,.97170582,.95135714,"0605","卷一",2014,103,05 Oct 14,12,14,"男性",72,"臺北市","台北市","臺北市","台北市中山區","佛教,未皈依","博士","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","07","有,投給馬英九","有","1-2萬元以下","15-16萬元以下"
104213,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,.91544223,.8880527,"0605","卷一",2014,103,11 Aug 14,13,15,"男性",45,"臺北市","台北市大同區","臺北市","台北市大同區","道教","五專","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","有支持政黨,但不回答","05","有,但拒答或忘記投給誰","有","7-8萬元以下","15-16萬元以下"
104217,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,.96592783,.94187261,"0605","卷一",2014,103,04 Sep 14,21,58,"男性",83,"宜蘭縣","宜蘭縣宜蘭市","宜蘭縣","宜蘭縣宜蘭市","佛教,未皈依","高職","離婚(跳答b8)","台灣人","維持現狀,以後走向獨立","都沒有___都支持","06","當時未滿20歲(跳答h10)","當時未滿20歲","3-4萬元以下","8-9萬元以下"
104225,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,1.4906592,1.7104774,"0605","卷一",2014,103,09 Oct 14,13,43,"女性",28,"新北市","新北市新店區","新北市","新北市新店區","道教","國(初)中","已婚但沒有與配偶同住","台灣人","永遠維持現狀","民進黨(跳答h7)","05","有,投給蔡英文","有","1萬元以下","3-4萬元以下"
104226,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,1.1862443,1.1517738,"0605","卷一",2014,103,18 Sep 14,19,20,"男性",61,"臺北市","台北市大同區","臺北市","台北市大同區","道教","高職","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","05","有,投給蔡英文","有","4-5萬元以下","6-7萬元以下"
104227,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,1.0754098,1.0491622,"0605","卷一",2014,103,10 Oct 14,13,26,"男性",67,"臺北市","台北市松山區","臺北市","台北市中山區","沒有宗教信仰","高中普通科","單身且從沒結過婚(跳答b8)","都不是,請說明","永遠維持現狀","都沒有___都支持","01最底層","沒有去投票","沒有","1-2萬元以下","2-3萬元以下"
104228,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,.99445387,1.0057992,"0605","卷一",2014,103,10 Aug 14,15,0,"女性",68,"臺北市","台北市北投區","臺北市","台北市松山區","沒有宗教信仰","碩士","已婚且與配偶同住","台灣人","永遠維持現狀","無黨籍(跳答h7)","06","有,但拒答或忘記投給誰","有","無收入","8-9萬元以下"
104232,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,1.0131415,.97934974,"0605","卷一",2014,103,20 Sep 14,20,40,"男性",47,"臺北市","台北市中正區","臺北市","台北市中正區","佛教,未皈依","高職","已婚且與配偶同住","中國人","永遠維持現狀","都沒有___都支持","01最底層","有,但拒答或忘記投給誰","有","1-2萬元以下","不知道"
104234,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,.97170582,.95135714,"0605","卷一",2014,103,21 Aug 14,20,41,"男性",65,"新北市","新北市雙溪區","宜蘭縣","宜蘭縣宜蘭市","基督教","碩士","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","國民黨(跳答h7)","04","沒有去投票","有","5-6萬元以下","12-13萬元以下"
104236,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,1.2810997,1.4883036,"0605","卷一",2014,103,11 Sep 14,10,0,"女性",32,"臺北市","台北市大同區","臺北市","台北市中山區","基督教","高職","配偶去世","兩者都是:是台灣人也是中國人","永遠維持現狀","都沒有___都支持","06","有,投給馬英九","有","1-2萬元以下","9-10萬元以下"
104240,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,.99445387,1.0057992,"0605","卷一",2014,103,11 Oct 14,12,17,"女性",68,"臺北市","台北市信義區","新北市","新北市三重區","民間信仰","五專","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","泛綠","05","沒有去投票","有","4-5萬元以下","不知道"
104241,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,.96564712,.97182994,"0605","卷一",2014,103,30 Sep 14,21,6,"女性",40,"花蓮縣","花蓮縣富里鄉","花蓮縣","花蓮縣富里鄉","佛教,未皈依","高中職業科","單身且從沒結過婚(跳答b8)","台灣人","維持現狀,以後走向獨立","民進黨(跳答h7)","05","有,投給蔡英文","沒有","2-3萬元以下","不知道"
104243,"台北市中山區","都會核心","北北基",2,"北北基宜",12,1,2,.72668409,.70199033,.94355802,.91922656,"0605","卷一",2014,103,18 Sep 14,20,48,"男性",42,"彰化縣","彰化縣秀水鄉","彰化縣","彰化縣秀水鄉","道教","高中普通科","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","民進黨(跳答h7)","06","有,投給蔡英文","有","5-6萬元以下","5-6萬元以下"
105101,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,1.1167001,1.0850653,"0605","卷一",2014,103,10 Sep 14,18,9,"男性",61,"其他","香港","臺北市","台北市松山區","民間信仰","技術學院,科大","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","泛藍","06","有,投給馬英九","有","6-7萬元以下","8-9萬元以下"
105102,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,1.3041714,1.4625529,"0605","卷一",2014,103,19 Aug 14,13,33,"男性",11,"其他","福建省","其他","福建省","佛教,未皈依","高中普通科","配偶去世","台灣人","永遠維持現狀","國民黨(跳答h7)","05","有,但拒答或忘記投給誰","忘記有沒有領公投票","3-4萬元以下","3-4萬元以下"
105105,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,1.0360631,1.0449586,"0605","卷一",2014,103,06 Sep 14,11,7,"女性",72,"臺北市","台北市","臺北市","台北市松山區","沒有宗教信仰","大學","單身且從沒結過婚(跳答b8)","台灣人","永遠維持現狀","都沒有___都支持","06","有,投給馬英九","有","4-5萬元以下","不知道"
105115,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,.95374556,.92262777,"0605","卷一",2014,103,24 Aug 14,16,28,"男性",50,"新北市","新北市瑞芳區","新北市","新北市瑞芳區","道教","大學","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","國民黨(跳答h7)","07","有,投給馬英九","沒有","7-8萬元以下","8-9萬元以下"
105116,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,1.0360631,1.0449586,"0605","卷一",2014,103,10 Aug 14,14,20,"女性",66,"花蓮縣","花蓮縣花蓮市","花蓮縣","花蓮縣花蓮市","佛教,未皈依","碩士","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,以後走向統一","都沒有___都支持","07","有,投給馬英九","有","2-3萬元以下","5-6萬元以下"
105118,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,1.2358784,1.1966164,"0605","卷一",2014,103,20 Aug 14,17,49,"男性",60,"雲林縣","雲林縣北港鎮","臺北市","台北市松山區","佛教,有皈依","高中普通科","單身且從沒結過婚(跳答b8)","兩者都是:是台灣人也是中國人","永遠維持現狀","無黨籍(跳答h7)","10最頂層","有,投給馬英九","沒有","1萬元以下","不知道"
105127,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,.88824141,.86598681,"0605","卷一",2014,103,16 Aug 14,14,0,"男性",33,"新竹市","新竹市","新竹市","新竹市","沒有宗教信仰","大學","已婚且與配偶同住","台灣人","維持現狀,看情形再決定獨立或統一","泛綠","05","有,投給蔡英文","有","2-3萬元以下","7-8萬元以下"
105128,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,.97607315,.97542579,"0605","卷一",2014,103,20 Aug 14,20,35,"女性",51,"臺北市","台北市萬華區","臺北市","台北市萬華區","佛教,未皈依","二專","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","國民黨(跳答h7)","05","有,投給馬英九","有","4-5萬元以下","5-6萬元以下"
105129,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,1.1428425,1.147159,"0605","卷一",2014,103,09 Aug 14,18,52,"女性",54,"新北市","新北市三重區","新北市","新北市三重區","沒有宗教信仰","五專","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","都沒有___都支持","05","沒有去投票","忘記有沒有領公投票","10-11萬元以下","15-16萬元以下"
105130,"台北市松山區","都會核心","北北基",1,"北北基宜",11,2,1,.76248525,.73657492,.97607315,.97542579,"0605","卷一",2014,103,05 Aug 14,14,11,"女性",48,"新竹市","新竹市","臺中市","台中市北屯區","沒有宗教信仰","大學","已婚且與配偶同住","兩者都是:是台灣人也是中國人","維持現狀,看情形再決定獨立或統一","泛藍","06","有,投給馬英九","沒有","5-6萬元以下","11-12萬元以下"
