id,zip,stratum2,psu,ssu,wsel,wr,wave,qtype,year,year_m,sd,shour,smin,gender,birth_year,religion,before15_place_code,before15_place,marriage,edu,pre_ele_97,pre_ele_101,political_party,taiwanese_or_chinese,taiwan_indep,month_income,month_spouse_income,mothe_house_income
1040123,"台北市中山區","都會核心",4,2,.78120342,.78694765,"0603","卷二",2012,101,21aug2012,"20","33","男",45,"沒有宗教信仰","台北市文山區","台北市(續答a7a)","已婚有偶(續答a11)","空中行專/商專(續答b2)","馬英九","馬英九(跳答f8)","都差不多","都是","維持現狀,以後走向統一","沒有工作","沒有工作","5-6萬元以下"
1040130,"台北市中山區","都會核心",4,2,.78120342,.87494549,"0603","卷二",2012,101,14aug2012,"20","47","女",38,"天主教","台北市大安區","台北市(續答a7a)","已婚有偶(續答a11)","大學(續答b2)","不知道/忘記了","沒有去投票(跳答f8)","都差不多","都是","永遠維持現狀","2-3萬元以下","沒有工作","4-5萬元以下"
1040131,"台北市中山區","都會核心",4,2,.78120342,.78779019,"0603","卷二",2012,101,22aug2012,"09","27","男",35,"民間信仰","桃園縣新屋鄉","桃園縣(跳答a7d)","已婚有偶(續答a11)","大學(續答b2)","謝長廷","蔡英文(續答f7)","都差不多","台灣人","維持現狀,以後走向統一","20-30萬元以下","沒有工作","30-40萬元以下"
1040133,"台北市中山區","都會核心",4,2,.78120342,1.1680326,"0603","卷二",2012,101,02sep2012,"17","42","男",81,"民間信仰","台北市中山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","高中普通科(續答b2)","沒有投票權","沒有投票權(跳答f8)","民進黨","台灣人","維持現狀,以後走向獨立","沒有工作","跳答,不適用","20-30萬元以下"
1040136,"台北市中山區","都會核心",4,2,.78120342,.87494549,"0603","卷二",2012,101,03aug2012,"20","47","女",41,"基督教","屏東縣南州鄉","屏東縣(跳答a7n)","已婚有偶(續答a11)","三專(續答b2)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","儘快宣布獨立","沒有工作","9-10萬元以下","13-14萬元以下"
1040137,"台北市中山區","都會核心",4,2,.78120342,1.0176605,"0603","卷二",2012,101,14sep2012,"19","31","女",80,"基督教","台北市中山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","沒有投票權","蔡英文(續答f7)","民進黨","台灣人","維持現狀,以後走向獨立","沒有工作","跳答,不適用","沒有收入"
1040302,"台北市中山區","都會核心",4,1,.78120342,.92210769,"0603","卷二",2012,101,21jul2012,"20","47","女",70,"民間信仰","桃園縣龜山鄉","桃園縣(跳答a7d)","已婚有偶(續答a11)","五專(續答b2)","沒有去投票","沒有去投票(跳答f8)","都差不多","台灣人","永遠維持現狀","3-4萬元以下","4-5萬元以下","9-10萬元以下"
1040318,"台北市中山區","都會核心",4,1,.78120342,1.0176605,"0603","卷二",2012,101,17jul2012,"20","37","女",80,"民間信仰","新北市淡水區","新北市(跳答a7b)","單身且從沒結過婚(跳答a15)","大學(續答b2)","沒有投票權","沒有去投票(跳答f8)","都差不多","台灣人","維持現狀,以後走向統一","沒有工作","跳答,不適用","10-11萬元以下"
1040323,"台北市中山區","都會核心",4,1,.78120342,.38352809,"0603","卷二",2012,101,16sep2012,"13","51","女",22,"民間信仰","宜蘭縣","宜蘭縣(跳答a7o)","配偶去世(跳答a12)","無/不識字(跳答b7)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","維持現狀,以後走向獨立","沒有工作","跳答,不適用","不知道"
1040326,"台北市中山區","都會核心",4,1,.78120342,.87400974,"0603","卷二",2012,101,26jul2012,"19","45","女",43,"佛教","台北市中山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","不知道","沒有工作","跳答,不適用","沒有收入"
1040329,"台北市中山區","都會核心",4,1,.78120342,.95739927,"0603","卷二",2012,101,16jul2012,"20","33","女",20,"民間信仰","台北市中山區","台北市(續答a7a)","配偶去世(跳答a12)","小學(續答b2)","馬英九","馬英九(跳答f8)","民進黨","台灣人","永遠維持現狀","沒有工作","跳答,不適用","1萬元以下"
1040333,"台北市中山區","都會核心",4,1,.78120342,1.0583607,"0603","卷二",2012,101,31aug2012,"23","16","男",70,"民間信仰","台北市中山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","高職(續答b2)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","維持現狀,以後走向獨立","3-4萬元以下","跳答,不適用","20-30萬元以下"
1040339,"台北市中山區","都會核心",4,1,.78120342,.78779019,"0603","卷二",2012,101,10aug2012,"18","19","男",29,"沒有宗教信仰","新北市永和區","新北市(跳答a7b)","同居(續答a11)","大學(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","維持現狀,以後走向統一","5-6萬元以下","7-8萬元以下","17-18萬元以下"
1050104,"台北市松山區","都會核心",1,2,.78120342,1.1868384,"0603","卷二",2012,101,21jul2012,"13","41","女",55,"佛教","新北市三芝區","新北市(跳答a7b)","已婚有偶(續答a11)","高中職業科(續答b2)","馬英九","馬英九(跳答f8)","都差不多","都是","維持現狀,以後走向統一","2-3萬元以下","4-5萬元以下","9-10萬元以下"
1050107,"台北市松山區","都會核心",1,2,.78120342,.78779019,"0603","卷二",2012,101,25jul2012,"17","11","男",21,"道教","花蓮縣花蓮市","花蓮縣(跳答a7p)","已婚有偶(續答a11)","空中行專/商專(續答b2)","馬英九","馬英九(跳答f8)","都差不多","台灣人","儘快宣布獨立","沒有工作","沒有工作","6-7萬元以下"
1050108,"台北市松山區","都會核心",1,2,.78120342,.83025445,"0603","卷二",2012,101,24jul2012,"17","23","男",63,"民間信仰","台南市佳里區","台南市(跳答a7l)","離婚(跳答a12)","大學(續答b2)","謝長廷","蔡英文(續答f7)","都差不多","台灣人","維持現狀,以後走向獨立","6-7萬元以下","跳答,不適用","6-7萬元以下"
1050109,"台北市松山區","都會核心",1,2,.78120342,.92210769,"0603","卷二",2012,101,31jul2012,"18","55","女",65,"民間信仰","台北市文山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","馬英九","馬英九(跳答f8)","都差不多","台灣人","永遠維持現狀","3-4萬元以下","跳答,不適用","9-10萬元以下"
1050111,"台北市松山區","都會核心",1,2,.78120342,.83025445,"0603","卷二",2012,101,06aug2012,"10","04","男",64,"民間信仰","苗栗縣苗栗市","苗栗縣(跳答a7f)","已婚有偶(續答a11)","碩士(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","維持現狀,以後走向統一","4-5萬元以下","6-7萬元以下","12-13萬元以下"
1050113,"台北市松山區","都會核心",1,2,.78120342,.87494549,"0603","卷二",2012,101,21jul2012,"15","31","女",38,"沒有宗教信仰","台南市南化區","台南市(跳答a7l)","已婚有偶(續答a11)","二專(續答b2)","馬英九","馬英九(跳答f8)","國民黨","中國人","維持現狀,以後走向統一","沒有工作","12-13萬元以下","12-13萬元以下"
1050115,"台北市松山區","都會核心",1,2,.78120342,.83829846,"0603","卷二",2012,101,26jul2012,"14","18","男",58,"沒有宗教信仰","高雄市三民區","高雄市(跳答a7m)","單身且從沒結過婚(跳答a15)","軍警校專科班(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","維持現狀,以後走向統一","7-8萬元以下","跳答,不適用","7-8萬元以下"
1050118,"台北市松山區","都會核心",1,2,.78120342,1.0031557,"0603","卷二",2012,101,26jul2012,"12","37","男",48,"民間信仰","台北市松山區","台北市(續答a7a)","已婚有偶(續答a11)","高職(續答b2)","馬英九","蔡英文(續答f7)","都差不多","都是","永遠維持現狀","4-5萬元以下","1萬元以下","6-7萬元以下"
1050122,"台北市松山區","都會核心",1,2,.78120342,.95739927,"0603","卷二",2012,101,24jul2012,"13","10","女",32,"佛教","嘉義縣朴子市","嘉義縣(跳答a7k)","已婚有偶(續答a11)","小學(續答b2)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","永遠維持現狀","沒有工作","沒有工作","1-2萬元以下"
1050125,"台北市松山區","都會核心",1,2,.78120342,1.0230814,"0603","卷二",2012,101,01aug2012,"10","29","女",41,"民間信仰","越南","其他國家(跳答a7w)","單身且從沒結過婚(跳答a15)","國(初)中(續答b2)","馬英九","馬英九(跳答f8)","都差不多","台灣人","不知道","2-3萬元以下","跳答,不適用","2-3萬元以下"
1050126,"台北市松山區","都會核心",1,2,.78120342,.92210769,"0603","卷二",2012,101,30jul2012,"18","10","女",71,"基督教","台北市內湖區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","碩士(續答b2)","馬英九","馬英九(跳答f8)","都差不多","台灣人","維持現狀,以後走向統一","4-5萬元以下","跳答,不適用","不知道"
1050128,"台北市松山區","都會核心",1,2,.78120342,1.1680326,"0603","卷二",2012,101,22aug2012,"14","26","男",81,"佛教","台北市松山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","高職(續答b2)","沒有投票權","沒有投票權(跳答f8)","都差不多","都是","維持現狀,以後走向統一","7-8萬元以下","跳答,不適用","17-18萬元以下"
1050129,"台北市松山區","都會核心",1,2,.78120342,1.0176605,"0603","卷二",2012,101,25jul2012,"18","57","女",75,"道教","台北市松山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","謝長廷","馬英九(跳答f8)","都差不多","台灣人","維持現狀,以後走向獨立","2-3萬元以下","跳答,不適用","2-3萬元以下"
1050133,"台北市松山區","都會核心",1,2,.78120342,.78694765,"0603","卷二",2012,101,11aug2012,"14","55","男",43,"佛教","台北市中山區","台北市(續答a7a)","已婚有偶(續答a11)","五專(續答b2)","馬英九","宋楚瑜(跳答f8)","都差不多","台灣人","永遠維持現狀","沒有工作","8-9萬元以下","8-9萬元以下"
1050135,"台北市松山區","都會核心",1,2,.78120342,.87400974,"0603","卷二",2012,101,26jul2012,"10","00","女",47,"民間信仰","台南市中西區","台南市(跳答a7l)","已婚有偶(續答a11)","五專(續答b2)","馬英九","馬英九(跳答f8)","都差不多","都是","永遠維持現狀","沒有工作","11-12萬元以下","11-12萬元以下"
1050136,"台北市松山區","都會核心",1,2,.78120342,.91628902,"0603","卷二",2012,101,29jul2012,"10","02","男",81,"沒有宗教信仰","台北市松山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","沒有投票權","沒有投票權(跳答f8)","民進黨","台灣人","維持現狀,以後走向獨立","沒有工作","跳答,不適用","不知道"
1050301,"台北市松山區","都會核心",1,1,.78120342,.92210769,"0603","卷二",2012,101,28jul2012,"13","46","女",62,"沒有宗教信仰","台北市萬華區","台北市(續答a7a)","已婚有偶(續答a11)","二專(續答b2)","馬英九","馬英九(跳答f8)","國民黨","台灣人","永遠維持現狀","5-6萬元以下","6-7萬元以下","12-13萬元以下"
1050303,"台北市松山區","都會核心",1,1,.78120342,.93104162,"0603","卷二",2012,101,31aug2012,"09","53","女",52,"佛教","台北市中正區","台北市(續答a7a)","已婚有偶(續答a11)","碩士(續答b2)","馬英九","馬英九(跳答f8)","國民黨","中國人","永遠維持現狀","5-6萬元以下","10-11萬元以下","20-30萬元以下"
1050304,"台北市松山區","都會核心",1,1,.78120342,.93104162,"0603","卷二",2012,101,25jul2012,"15","33","女",57,"基督教","台北市中山區","台北市(續答a7a)","離婚(跳答a12)","技術學院,科大(續答b2)","沒有去投票","沒有去投票(跳答f8)","都差不多","都是","維持現狀,以後走向統一","沒有工作","跳答,不適用","8-9萬元以下"
1050306,"台北市松山區","都會核心",1,1,.78120342,.78779019,"0603","卷二",2012,101,16jul2012,"10","10","男",29,"佛教","台北市大同區","台北市(續答a7a)","已婚有偶(續答a11)","大學(續答b2)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","儘快宣布獨立","沒有工作","沒有工作","7-8萬元以下"
1050309,"台北市松山區","都會核心",1,1,.78120342,.91628902,"0603","卷二",2012,101,11aug2012,"16","34","男",77,"民間信仰","台北市松山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","馬英九","馬英九(跳答f8)","綠黨","都是","永遠維持現狀","沒有工作","跳答,不適用","不知道"
1050310,"台北市松山區","都會核心",1,1,.78120342,.78694765,"0603","卷二",2012,101,27jul2012,"18","24","男",47,"佛教","台北市中山區","台北市(續答a7a)","已婚有偶(續答a11)","五專(續答b2)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","維持現狀,以後走向統一","2-3萬元以下","沒有工作","2-3萬元以下"
1050311,"台北市松山區","都會核心",1,1,.78120342,.92210769,"0603","卷二",2012,101,08aug2012,"14","37","女",71,"天主教","台北市松山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","馬英九","馬英九(跳答f8)","都差不多","都是","永遠維持現狀","5-6萬元以下","跳答,不適用","不知道"
1050312,"台北市松山區","都會核心",1,1,.78120342,.38352809,"0603","卷二",2012,101,17jul2012,"19","33","女",18,"民間信仰","高雄市大寮區","高雄市(跳答a7m)","配偶去世(跳答a12)","無/不識字(跳答b7)","馬英九","馬英九(跳答f8)","國民黨","都是","永遠維持現狀","沒有工作","跳答,不適用","不知道"
1050313,"台北市松山區","都會核心",1,1,.78120342,.92210769,"0603","卷二",2012,101,11aug2012,"20","34","女",66,"基督教","台中市東勢區","台中市(跳答a7g)","已婚有偶(續答a11)","大學(續答b2)","馬英九","馬英九(跳答f8)","綠黨","台灣人","儘快宣布獨立","4-5萬元以下","12-13萬元以下","18-19萬元以下"
1050315,"台北市松山區","都會核心",1,1,.78120342,1.1141374,"0603","卷二",2012,101,19jul2012,"16","25","女",50,"基督教","新北市板橋區","新北市(跳答a7b)","已婚有偶(續答a11)","高職(續答b2)","馬英九","馬英九(跳答f8)","都差不多","台灣人","維持現狀,以後走向獨立","沒有工作","沒有工作","4-5萬元以下"
1050316,"台北市松山區","都會核心",1,1,.78120342,.38352809,"0603","卷二",2012,101,15aug2012,"17","05","女",17,"天主教","安徽省","大陸(跳答a7v)","配偶去世(跳答a12)","無/不識字(跳答b7)","馬英九","馬英九(跳答f8)","國民黨","台灣人","永遠維持現狀","沒有工作","跳答,不適用","1-2萬元以下"
1050321,"台北市松山區","都會核心",1,1,.78120342,.78694765,"0603","卷二",2012,101,11aug2012,"17","41","男",47,"民間信仰","台北市松山區","台北市(續答a7a)","已婚有偶(續答a11)","軍警官校或大學(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","永遠維持現狀","沒有工作","2-3萬元以下","10-11萬元以下"
1050324,"台北市松山區","都會核心",1,1,.78120342,1.1680326,"0603","卷二",2012,101,15aug2012,"16","05","男",82,"民間信仰","新北市林口區","新北市(跳答a7b)","單身且從沒結過婚(跳答a15)","高中普通科(續答b2)","沒有投票權","沒有投票權(跳答f8)","都差不多","都是","維持現狀,以後走向獨立","沒有工作","跳答,不適用","9-10萬元以下"
1050325,"台北市松山區","都會核心",1,1,.78120342,.93104162,"0603","卷二",2012,101,24aug2012,"13","39","女",54,"民間信仰","台北市大安區","台北市(續答a7a)","已婚有偶(續答a11)","碩士(續答b2)","馬英九","沒有去投票(跳答f8)","都差不多","都是","不知道","拒答","不知道","拒答"
1050326,"台北市松山區","都會核心",1,1,.78120342,.92210769,"0603","卷二",2012,101,01aug2012,"12","00","女",65,"民間信仰","台北市中山區","台北市(續答a7a)","已婚有偶(續答a11)","碩士(續答b2)","馬英九","馬英九(跳答f8)","綠黨","台灣人","維持現狀,以後走向獨立","沒有工作","10-11萬元以下","11-12萬元以下"
1050327,"台北市松山區","都會核心",1,1,.78120342,.92116997,"0603","卷二",2012,101,15aug2012,"14","59","男",19,"佛教","江蘇省","大陸(跳答a7v)","配偶去世(跳答a12)","國(初)中(續答b2)","馬英九","沒有去投票(跳答f8)","都差不多","中國人","儘快與大陸統一","沒有工作","跳答,不適用","不知道"
1050330,"台北市松山區","都會核心",1,1,.78120342,.93104162,"0603","卷二",2012,101,03aug2012,"08","58","女",53,"佛教","台中市北屯區","台中市(跳答a7g)","已婚有偶(續答a11)","博士(續答b2)","馬英九","沒有去投票(跳答f8)","都差不多","都是","維持現狀,以後走向獨立","9-10萬元以下","9-10萬元以下","19-20萬元以下"
1050332,"台北市松山區","都會核心",1,1,.78120342,.91628902,"0603","卷二",2012,101,08aug2012,"13","31","男",79,"民間信仰","台北市中山區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","沒有投票權","沒有去投票(跳答f8)","國民黨","台灣人","維持現狀,以後走向獨立","沒有工作","跳答,不適用","8-9萬元以下"
1050338,"台北市松山區","都會核心",1,1,.78120342,1.0176605,"0603","卷二",2012,101,29jul2012,"22","12","女",74,"民間信仰","台北市中正區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","碩士(續答b2)","馬英九","沒有去投票(跳答f8)","國民黨","台灣人","維持現狀,以後走向統一","4-5萬元以下","跳答,不適用","不知道"
1050340,"台北市松山區","都會核心",1,1,.78120342,.78779019,"0603","卷二",2012,101,23jul2012,"19","50","男",38,"沒有宗教信仰","高雄市左營區","高雄市(跳答a7m)","已婚有偶(續答a11)","大學(續答b2)","馬英九","馬英九(跳答f8)","都差不多","都是","永遠維持現狀","8-9萬元以下","4-5萬元以下","12-13萬元以下"
1060102,"台北市大安區","都會核心",3,2,.78120342,1.0230814,"0603","卷二",2012,101,20aug2012,"10","52","女",28,"佛教","宜蘭縣宜蘭市","宜蘭縣(跳答a7o)","已婚有偶(續答a11)","國(初)中(續答b2)","拒答","拒答(跳答f8)","拒答","台灣人","拒答","沒有工作","沒有工作","拒答"
1060103,"台北市大安區","都會核心",3,2,.78120342,.83025445,"0603","卷二",2012,101,28aug2012,"15","00","男",63,"沒有宗教信仰","台中市大里區","台中市(跳答a7g)","已婚有偶(續答a11)","碩士(續答b2)","謝長廷","蔡英文(續答f7)","民進黨","台灣人","維持現狀,以後走向獨立","8-9萬元以下","7-8萬元以下","16-17萬元以下"
1060104,"台北市大安區","都會核心",3,2,.78120342,.78694765,"0603","卷二",2012,101,09aug2012,"10","11","男",49,"佛教","屏東縣屏東市","屏東縣(跳答a7n)","已婚有偶(續答a11)","博士(續答b2)","沒有去投票","沒有去投票(跳答f8)","國民黨","都是","維持現狀,以後走向統一","14-15萬元以下","沒有工作","14-15萬元以下"
1060105,"台北市大安區","都會核心",3,2,.78120342,.78779019,"0603","卷二",2012,101,16jul2012,"13","29","男",26,"佛教","台北市大同區","台北市(續答a7a)","已婚有偶(續答a11)","大學(續答b2)","不知道/忘記了","不知道/忘記了(跳答f8)","拒答","台灣人","永遠維持現狀","沒有工作","沒有工作","不知道"
1060106,"台北市大安區","都會核心",3,2,.78120342,.83829846,"0603","卷二",2012,101,27aug2012,"17","09","男",54,"佛教","台北市大安區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","博士(續答b2)","沒有去投票","蔡英文(續答f7)","民進黨","都是","永遠維持現狀","7-8萬元以下","跳答,不適用","9-10萬元以下"
1060107,"台北市大安區","都會核心",3,2,.78120342,.87400974,"0603","卷二",2012,101,13aug2012,"14","23","女",49,"基督教","台東縣東河鄉","台東縣(跳答a7q)","已婚有偶(續答a11)","二專(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","不知道","4-5萬元以下","20-30萬元以下","20-30萬元以下"
1060113,"台北市大安區","都會核心",3,2,.78120342,1.1868384,"0603","卷二",2012,101,19aug2012,"19","52","女",55,"道教","台北市大安區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","高職(續答b2)","拒答","拒答(跳答f8)","都差不多","台灣人","儘快宣布獨立","5-6萬元以下","跳答,不適用","不知道"
1060116,"台北市大安區","都會核心",3,2,.78120342,.78694765,"0603","卷二",2012,101,21jul2012,"10","55","男",51,"沒有宗教信仰","台北市大安區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","五專(續答b2)","馬英九","馬英九(跳答f8)","國民黨","台灣人","永遠維持現狀","4-5萬元以下","跳答,不適用","10-11萬元以下"
1060117,"台北市大安區","都會核心",3,2,.78120342,.92210769,"0603","卷二",2012,101,26aug2012,"10","49","女",67,"道教","新北市新莊區","新北市(跳答a7b)","已婚有偶(續答a11)","大學(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","永遠維持現狀","沒有工作","7-8萬元以下","10-11萬元以下"
1060119,"台北市大安區","都會核心",3,2,.78120342,.38352809,"0603","卷二",2012,101,18jul2012,"12","51","女",10,"沒有宗教信仰","雲林縣二崙鄉","雲林縣(跳答a7j)","配偶去世(跳答a12)","無/不識字(跳答b7)","不知道/忘記了","不知道/忘記了(跳答f8)","不知道","台灣人","不知道","沒有工作","跳答,不適用","不知道"
1060121,"台北市大安區","都會核心",3,2,.78120342,1.0176605,"0603","卷二",2012,101,21jul2012,"12","28","女",76,"佛教","台北市大安區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","大學(續答b2)","沒有去投票","馬英九(跳答f8)","國民黨","都是","維持現狀,以後走向統一","沒有工作","跳答,不適用","7-8萬元以下"
1060122,"台北市大安區","都會核心",3,2,.78120342,1.1153302,"0603","卷二",2012,101,20aug2012,"13","56","女",40,"佛教","台南市北區","台南市(跳答a7l)","配偶去世(跳答a12)","高職(續答b2)","馬英九","馬英九(跳答f8)","國民黨","都是","維持現狀,以後走向統一","沒有工作","跳答,不適用","3-4萬元以下"
1060124,"台北市大安區","都會核心",3,2,.78120342,.93104162,"0603","卷二",2012,101,23aug2012,"15","03","女",54,"沒有宗教信仰","台北市中山區","台北市(續答a7a)","離婚(跳答a12)","大學(續答b2)","馬英九","馬英九(跳答f8)","都差不多","台灣人","永遠維持現狀","6-7萬元以下","跳答,不適用","6-7萬元以下"
1060128,"台北市大安區","都會核心",3,2,.78120342,.78694765,"0603","卷二",2012,101,18jul2012,"14","05","男",42,"沒有宗教信仰","高雄市鳳山區","高雄市(跳答a7m)","已婚有偶(續答a11)","三專(續答b2)","沒有去投票","馬英九(跳答f8)","國民黨","都是","儘快與大陸統一","沒有工作","沒有工作","6-7萬元以下"
1060130,"台北市大安區","都會核心",3,2,.78120342,.83025445,"0603","卷二",2012,101,31aug2012,"14","52","男",69,"道教","嘉義縣中埔鄉","嘉義縣(跳答a7k)","已婚有偶(續答a11)","碩士(續答b2)","馬英九","馬英九(跳答f8)","都差不多","台灣人","永遠維持現狀","5-6萬元以下","2-3萬元以下","6-7萬元以下"
1060132,"台北市大安區","都會核心",3,2,.78120342,1.0230814,"0603","卷二",2012,101,16jul2012,"16","32","女",36,"佛教","彰化縣芳苑鄉","彰化縣(跳答a7h)","已婚有偶(續答a11)","國(初)中(續答b2)","拒答","拒答(跳答f8)","不知道","台灣人","永遠維持現狀","沒有工作","沒有工作","拒答"
1060134,"台北市大安區","都會核心",3,2,.78120342,.91628902,"0603","卷二",2012,101,22aug2012,"10","59","男",73,"佛教","宜蘭縣員山鄉","宜蘭縣(跳答a7o)","已婚有偶(續答a11)","二專(續答b2)","拒答","拒答(跳答f8)","拒答","台灣人","維持現狀,以後走向獨立","3-4萬元以下","2-3萬元以下","6-7萬元以下"
1060137,"台北市大安區","都會核心",3,2,.78120342,.93104162,"0603","卷二",2012,101,09aug2012,"12","54","女",54,"沒有宗教信仰","台北市大安區","台北市(續答a7a)","已婚有偶(續答a11)","碩士(續答b2)","拒答","蔡英文(續答f7)","都差不多","台灣人","維持現狀,以後走向獨立","沒有工作","20-30萬元以下","20-30萬元以下"
1060301,"台北市大安區","都會核心",3,1,.78120342,1.0583607,"0603","卷二",2012,101,25jul2012,"16","30","男",70,"道教","台北市大安區","台北市(續答a7a)","單身且從沒結過婚(跳答a15)","高職(續答b2)","投廢票","投廢票(跳答f8)","都差不多","台灣人","維持現狀,以後走向統一","8-9萬元以下","跳答,不適用","9-10萬元以下"
1060303,"台北市大安區","都會核心",3,1,.78120342,.83025445,"0603","卷二",2012,101,23jul2012,"11","28","男",66,"基督教","台北市文山區","台北市(續答a7a)","已婚有偶(續答a11)","碩士(續答b2)","投廢票","蔡英文(續答f7)","民進黨","台灣人","維持現狀,以後走向獨立","7-8萬元以下","7-8萬元以下","14-15萬元以下"
