id,zip,stratum2,psu,ssu,wsel,wr,wave,qtype,year,year_m,sdate,stime,gender,birth_year,birth_place,birth_place_code,religion,edu,marriage,taiwanese_or_chinese,taiwan_indep,pre_ele_97,pre_ele_101,legi_ele_101,political_party,month_income,mothe_house_income
1000528,"台北市中正區","都會核心",3,1,.7330467653,.8928966595,"0604","卷二",2013,102,11 Oct 13,"1409","女性",38,"台南市","台南市新化區","","大學","離婚(跳答30)","台灣人","維持現狀,以後走向獨立","有,謝長廷","有,蔡英文","民進黨","都沒有/都支持","4-5萬元以下","4-5萬元以下"
1000533,"台北市中正區","都會核心",3,1,.7330467653,.8320219398,"0604","卷二",2013,102,11 Oct 13,"1845","男性",36,"其他","緬甸","","碩士","已婚且與配偶同住","兩者都是","無意見","沒有去投票","沒有去投票(跳答95)","跳答","都沒有/都支持","1-2萬元以下","1-2萬元以下"
1000535,"台北市中正區","都會核心",3,1,.7330467653,.8985946038,"0604","卷二",2013,102,03 Oct 13,"2119","女性",65,"台北市","台北市中正區","","碩士","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","國民黨","1-2萬元以下","7-8萬元以下"
1000537,"台北市中正區","都會核心",3,1,.7330467653,.9201208825,"0604","卷二",2013,102,01 Oct 13,"2005","男性",34,"台南市","台南市七股區","","高職","配偶去世","台灣人","永遠維持現狀","有,馬英九","有,馬英九","國民黨","都沒有/都支持","拒答","拒答"
1000541,"台北市中正區","都會核心",3,1,.7330467653,.8985946038,"0604","卷二",2013,102,04 Oct 13,"1604","女性",65,"新北市","新北市新莊區","","二專","已婚且與配偶同住","台灣人","永遠維持現狀","有,馬英九","有,馬英九","不知道/忘記了","泛藍","2-3萬元以下","5-6萬元以下"
1000701,"台北市中正區","都會核心",3,2,.7330467653,.9874413439,"0604","卷二",2013,102,28 Oct 13,"1706","女性",38,"新北市","新北市新店區","","高職","配偶去世","台灣人","維持現狀,以後走向獨立","有,謝長廷","有,蔡英文","民進黨","跳答","1萬元以下","4-5萬元以下"
1000702,"台北市中正區","都會核心",3,2,.7330467653,.8320219398,"0604","卷二",2013,102,27 Oct 13,"1504","男性",39,"雲林縣","雲林縣古坑鄉","","五專","已婚且與配偶同住","台灣人","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","跳答","20-30萬元以下","20-30萬元以下"
1000703,"台北市中正區","都會核心",3,2,.7330467653,.821494591,"0604","卷二",2013,102,27 Oct 13,"1332","女性",45,"台北市","台北市萬華區","","大學","離婚(跳答30)","台灣人","不瞭解題意","有,馬英九","有,馬英九","不知道/忘記了","都沒有/都支持","無收入","6-7萬元以下"
1000704,"台北市中正區","都會核心",3,2,.7330467653,.4114952033,"0604","卷二",2013,102,23 Oct 13,"1627","女性",13,"桃園縣","桃園縣蘆竹鄉","","無/不識字(跳答23)","配偶去世","台灣人","儘快宣布獨立","有,謝長廷","有,蔡英文","民進黨","跳答","2-3萬元以下","2-3萬元以下"
1000706,"台北市中正區","都會核心",3,2,.7330467653,.8370002545,"0604","卷二",2013,102,29 Oct 13,"1120","男性",78,"台北市","台北市中正區","","技術學院、科大","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","當時未滿20歲","有,蔡英文","不知道/忘記了","都沒有/都支持","3-4萬元以下","13-14萬元以下"
1000710,"台北市中正區","都會核心",3,2,.7330467653,.9256263278,"0604","卷二",2013,102,29 Oct 13,"1812","男性",78,"台北市","台北市中正區","","高職","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","當時未滿20歲","有,蔡英文","民進黨","都沒有/都支持","5-6萬元以下","20-30萬元以下"
1000712,"台北市中正區","都會核心",3,2,.7330467653,.9927591578,"0604","卷二",2013,102,01 Nov 13,"1405","男性",54,"台中市","台中市烏日區","","士官學校","離婚(跳答30)","兩者都是","儘快與中國大陸統一","有,馬英九","有,馬英九","國民黨","跳答","4-5萬元以下","50-100萬元以下"
1000714,"台北市中正區","都會核心",3,2,.7330467653,.8558164091,"0604","卷二",2013,102,21 Oct 13,"1905","女性",41,"台中市","台中市","","小學","已婚且與配偶同住","台灣人","無法決定","有,謝長廷","有,蔡英文","民進黨","跳答","1-2萬元以下","1-2萬元以下"
1000719,"台北市中正區","都會核心",3,2,.7330467653,.8982392116,"0604","卷二",2013,102,10 Oct 13,"2036","女性",74,"台北市","台北市中正區","","碩士","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","有,謝長廷","有,蔡英文","民進黨","都沒有/都支持","5-6萬元以下","16-17萬元以下"
1000723,"台北市中正區","都會核心",3,2,.7330467653,.7654878264,"0604","卷二",2013,102,12 Oct 13,"2045","男性",50,"新北市","新北市雙溪區","","五專","已婚且與配偶同住","台灣人","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","跳答","5-6萬元以下","14-15萬元以下"
1000724,"台北市中正區","都會核心",3,2,.7330467653,.9633857383,"0604","卷二",2013,102,12 Oct 13,"1913","女性",60,"台中市","台中市大肚區","","大學","已婚且與配偶同住","台灣人","永遠維持現狀","有,謝長廷","有,蔡英文","民進黨","都沒有/都支持","8-9萬元以下","13-14萬元以下"
1000728,"台北市中正區","都會核心",3,2,.7330467653,.8985946038,"0604","卷二",2013,102,26 Oct 13,"1604","女性",70,"新北市","新北市新店區","","碩士","單身且從沒結過婚(跳答30)","台灣人","永遠維持現狀","有,馬英九","沒有去投票(跳答95)","跳答","國民黨","5-6萬元以下","11-12萬元以下"
1000730,"台北市中正區","都會核心",3,2,.7330467653,.8928966595,"0604","卷二",2013,102,21 Oct 13,"1556","女性",36,"高雄市","高雄市鳳山區","","大學","已婚且與配偶同住","台灣人","永遠維持現狀","有,馬英九","有,馬英九","投廢票","都沒有/都支持","1萬元以下","2-3萬元以下"
1000737,"台北市中正區","都會核心",3,2,.7330467653,1.084940627,"0604","卷二",2013,102,22 Sep 13,"1920","男性",19,"桃園縣","桃園縣中壢市","","小學","配偶去世","台灣人","儘快宣布獨立","有,但不願意回答或忘記投給誰","有,但不願意回答或忘記投給誰","拒答","都沒有/都支持","1萬元以下","1-2萬元以下"
1000742,"台北市中正區","都會核心",3,2,.7330467653,.8982392116,"0604","卷二",2013,102,16 Nov 13,"1416","女性",82,"其他","廣州市","","大學","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","當時未滿20歲","當時未滿20歲(跳答95)","跳答","國民黨","1萬元以下","不知道"
1050501,"台北市松山區","都會核心",1,1,.684176981,1.086698752,"0604","卷二",2013,102,30 Sep 13,"1755","女性",22,"南投縣","南投縣魚池鄉","","小學","配偶去世","台灣人","維持現狀,以後走向統一","有,但不願意回答或忘記投給誰","有,但不願意回答或忘記投給誰","不知道/忘記了","跳答","1萬元以下","不知道"
1050502,"台北市松山區","都會核心",1,1,.684176981,.8386882969,"0604","卷二",2013,102,04 Oct 13,"1749","女性",67,"台北市","台北市松山區","","大學","已婚且與配偶同住","台灣人","永遠維持現狀","沒有去投票","沒有去投票(跳答95)","跳答","都沒有/都支持","4-5萬元以下","7-8萬元以下"
1050504,"台北市松山區","都會核心",1,1,.684176981,.8991600224,"0604","卷二",2013,102,03 Oct 13,"1838","女性",52,"桃園縣","桃園縣八德市","","大學","配偶去世","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","跳答","5-6萬元以下","5-6萬元以下"
1050509,"台北市松山區","都會核心",1,1,.684176981,.8378582875,"0604","卷二",2013,102,08 Oct 13,"1508","男性",59,"台北市","台北市松山區","","二專","已婚且與配偶同住","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","國民黨","18-19萬元以下","20-30萬元以下"
1050511,"台北市松山區","都會核心",1,1,.684176981,.7815093227,"0604","卷二",2013,102,30 Sep 13,"2201","男性",71,"新北市","新北市板橋區","","碩士","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","有,馬英九","有,馬英九","國民黨","都沒有/都支持","3-4萬元以下","不知道"
1050513,"台北市松山區","都會核心",1,1,.684176981,.7667282849,"0604","卷二",2013,102,04 Oct 13,"1043","女性",51,"彰化縣","彰化縣芳苑鄉","","二專","已婚且與配偶同住","台灣人","永遠維持現狀","沒有去投票","沒有去投票(跳答95)","跳答","都沒有/都支持","5-6萬元以下","9-10萬元以下"
1050515,"台北市松山區","都會核心",1,1,.684176981,.8991600224,"0604","卷二",2013,102,04 Oct 13,"1936","女性",57,"高雄市","高雄市新興區","","大學","單身且從沒結過婚(跳答30)","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","都沒有/都支持","拒答","拒答"
1050516,"台北市松山區","都會核心",1,1,.684176981,.9274931092,"0604","卷二",2013,102,10 Oct 13,"1052","女性",71,"台北市","台北市松山區","","高職","單身且從沒結過婚(跳答30)","兩者都是","永遠維持現狀","沒有去投票","沒有去投票(跳答95)","跳答","都沒有/都支持","1-2萬元以下","不知道"
1050517,"台北市松山區","都會核心",1,1,.684176981,.8813635964,"0604","卷二",2013,102,29 Sep 13,"2142","男性",38,"新北市","新北市平溪區","","國(初)中","已婚且與配偶同住","台灣人","永遠維持現狀","有,馬英九","有,馬英九","國民黨","跳答","1-2萬元以下","3-4萬元以下"
1050518,"台北市松山區","都會核心",1,1,.684176981,.921611921,"0604","卷二",2013,102,02 Oct 13,"1358","女性",36,"屏東縣","屏東縣萬巒鄉","","高中普通科","配偶去世","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","跳答","5-6萬元以下","不知道"
1050520,"台北市松山區","都會核心",1,1,.684176981,.9458483886,"0604","卷二",2013,102,02 Oct 13,"1034","女性",41,"苗栗縣","苗栗縣竹南鎮","","國(初)中","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","都沒有/都支持","5-6萬元以下","6-7萬元以下"
1050521,"台北市松山區","都會核心",1,1,.684176981,1.056485006,"0604","卷二",2013,102,28 Sep 13,"2010","男性",28,"新竹縣","新竹縣寶山鄉","","碩士","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","跳答","5-6萬元以下","不知道"
1050525,"台北市松山區","都會核心",1,1,.684176981,.7144553047,"0604","卷二",2013,102,01 Oct 13,"1614","男性",49,"高雄市","高雄市大樹區","","大學","已婚且與配偶同住","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","都沒有/都支持","10-11萬元以下","30-40萬元以下"
1050527,"台北市松山區","都會核心",1,1,.684176981,.7987619818,"0604","卷二",2013,102,28 Sep 13,"2218","女性",36,"高雄市","高雄市美濃區","","小學","已婚且與配偶同住","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","跳答","2-3萬元以下","不知道"
1050528,"台北市松山區","都會核心",1,1,.684176981,1.286806692,"0604","卷二",2013,102,01 Oct 13,"1830","女性",29,"嘉義縣","嘉義縣六腳鄉","","國(初)中","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","有,謝長廷","有,蔡英文","民進黨","跳答","5-6萬元以下","6-7萬元以下"
1050530,"台北市松山區","都會核心",1,1,.684176981,.7812002375,"0604","卷二",2013,102,28 Sep 13,"1856","男性",72,"台北市","台北市松山區","","大學","單身且從沒結過婚(跳答30)","台灣人","永遠維持現狀","有,馬英九","有,蔡英文","國民黨","都沒有/都支持","3-4萬元以下","3-4萬元以下"
1050543,"台北市松山區","都會核心",1,1,.684176981,.8386882969,"0604","卷二",2013,102,02 Oct 13,"1817","女性",68,"宜蘭縣","宜蘭縣羅東鎮","","大學","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","有,馬英九","有,馬英九","無黨籍","國民黨","5-6萬元以下","12-13萬元以下"
1050545,"台北市松山區","都會核心",1,1,.684176981,.7667282849,"0604","卷二",2013,102,01 Oct 13,"2140","女性",44,"台北市","台北市萬華區","","大學","配偶去世","台灣人","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","跳答","4-5萬元以下","9-10萬元以下"
1050703,"台北市松山區","都會核心",1,2,.684176981,.7815093227,"0604","卷二",2013,102,26 Sep 13,"2109","男性",65,"台北市","台北市大安區","","大學","單身且從沒結過婚(跳答30)","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","跳答","5-6萬元以下","5-6萬元以下"
1050704,"台北市松山區","都會核心",1,2,.684176981,.7812002375,"0604","卷二",2013,102,12 Oct 13,"2040","男性",81,"新北市","新北市永和區","","大學","單身且從沒結過婚(跳答30)","兩者都是","維持現狀,以後走向統一","當時未滿20歲","當時未滿20歲(跳答95)","跳答","泛藍","1萬元以下","12-13萬元以下"
1050706,"台北市松山區","都會核心",1,2,.684176981,.9274931092,"0604","卷二",2013,102,17 Oct 13,"1932","女性",64,"其他","廣西省","","高職","已婚且與配偶同住","兩者都是","永遠維持現狀","沒有去投票","有,馬英九","國民黨","跳答","5-6萬元以下","11-12萬元以下"
1050714,"台北市松山區","都會核心",1,2,.684176981,.7765538105,"0604","卷二",2013,102,29 Sep 13,"1055","男性",38,"台北市","台北市大同區","","大學","已婚但未與配偶同住","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","都沒有/都支持","30萬元以上","40-50萬元以下"
1050715,"台北市松山區","都會核心",1,2,.684176981,.7815093227,"0604","卷二",2013,102,11 Oct 13,"1614","男性",70,"台北市","台北市松山區","","碩士","已婚且與配偶同住","台灣人","永遠維持現狀","沒有去投票","有,蔡英文","無黨籍","都沒有/都支持","7-8萬元以下","不知道"
1050716,"台北市松山區","都會核心",1,2,.684176981,.7667282849,"0604","卷二",2013,102,23 Oct 13,"1827","女性",48,"台北市","台北市松山區","","大學","單身且從沒結過婚(跳答30)","台灣人","永遠維持現狀","沒有去投票","沒有去投票(跳答95)","跳答","都沒有/都支持","3-4萬元以下","3-4萬元以下"
1050717,"台北市松山區","都會核心",1,2,.684176981,1.056485006,"0604","卷二",2013,102,24 Sep 13,"1709","男性",31,"台南市","台南市東區","","大學","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","跳答","拒答","拒答"
1050718,"台北市松山區","都會核心",1,2,.684176981,.7667282849,"0604","卷二",2013,102,10 Oct 13,"1409","女性",50,"台北市","台北市中山區","","大學","已婚且與配偶同住","兩者都是","維持現狀,以後走向統一","沒有去投票","沒有去投票(跳答95)","跳答","國民黨","1-2萬元以下","13-14萬元以下"
1050721,"台北市松山區","都會核心",1,2,.684176981,1.020517703,"0604","卷二",2013,102,30 Sep 13,"1946","女性",53,"嘉義縣","嘉義縣民雄鄉","","國(初)中","已婚且與配偶同住","台灣人","永遠維持現狀","沒有去投票","沒有去投票(跳答95)","跳答","都沒有/都支持","拒答","拒答"
1050729,"台北市松山區","都會核心",1,2,.684176981,.921611921,"0604","卷二",2013,102,08 Oct 13,"1858","女性",37,"新竹縣","新竹縣關西鎮","","高中職業科","已婚但未與配偶同住","兩者都是","維持現狀,以後走向統一","沒有去投票","有,蔡英文","民進黨","都沒有/都支持","10-11萬元以下","10-11萬元以下"
1050732,"台北市松山區","都會核心",1,2,.684176981,.8383565975,"0604","卷二",2013,102,28 Sep 13,"1453","女性",73,"台北市","台北市松山區","","碩士","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","有,但不願意回答或忘記投給誰","沒有去投票(跳答95)","跳答","泛綠","4-5萬元以下","5-6萬元以下"
1050734,"台北市松山區","都會核心",1,2,.684176981,.8383565975,"0604","卷二",2013,102,26 Sep 13,"1408","女性",82,"台北市","台北市松山區","","大學","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","當時未滿20歲","當時未滿20歲(跳答95)","跳答","泛藍","1-2萬元以下","不知道"
1050740,"台北市松山區","都會核心",1,2,.684176981,.8479135855,"0604","卷二",2013,102,26 Sep 13,"1150","女性",48,"新竹縣","新竹縣北埔鄉","","高中職業科","已婚且與配偶同住","台灣人","永遠維持現狀","沒有去投票","沒有去投票(跳答95)","跳答","其他政黨,請說明","1萬元以下","不知道"
1050742,"台北市松山區","都會核心",1,2,.684176981,.8386882969,"0604","卷二",2013,102,19 Oct 13,"2127","女性",62,"台北市","台北市士林區","","二專","已婚且與配偶同住","兩者都是","維持現狀,以後走向獨立","有,馬英九","沒有去投票(跳答95)","跳答","都沒有/都支持","6-7萬元以下","14-15萬元以下"
1050744,"台北市松山區","都會核心",1,2,.684176981,.7765538105,"0604","卷二",2013,102,22 Oct 13,"2017","男性",36,"其他","青島市","","碩士","離婚(跳答30)","兩者都不是,請說明","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","國民黨","13-14萬元以下","17-18萬元以下"
1060501,"台北市大安區","都會核心",2,1,.7159991661,.8773499276,"0604","卷二",2013,102,23 Oct 13,"1513","女性",82,"新北市","新北市永和區","","大學","單身且從沒結過婚(跳答30)","台灣人","永遠維持現狀","當時未滿20歲","當時未滿20歲(跳答95)","跳答","跳答","1萬元以下","6-7萬元以下"
1060504,"台北市大安區","都會核心",2,1,.7159991661,.8178585935,"0604","卷二",2013,102,07 Oct 13,"1613","男性",71,"嘉義市","嘉義市","","碩士","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","有,馬英九","有,馬英九","國民黨","都沒有/都支持","20-30萬元以下","30-40萬元以下"
1060507,"台北市大安區","都會核心",2,1,.7159991661,1.040617575,"0604","卷二",2013,102,01 Oct 13,"0934","女性",52,"雲林縣","雲林縣莿桐鄉","","高職","已婚且與配偶同住","台灣人","維持現狀,以後走向獨立","有,馬英九","有,馬英九","國民黨","跳答","5-6萬元以下","5-6萬元以下"
1060510,"台北市大安區","都會核心",2,1,.7159991661,.8773499276,"0604","卷二",2013,102,13 Oct 13,"2006","女性",79,"台北市","台北市大安區","","碩士","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向獨立","當時未滿20歲","沒有去投票(跳答95)","跳答","都沒有/都支持","1萬元以下","不知道"
1060513,"台北市大安區","都會核心",2,1,.7159991661,.8175351323,"0604","卷二",2013,102,24 Oct 13,"1004","男性",79,"新北市","新北市新店區","","大學","單身且從沒結過婚(跳答30)","台灣人","維持現狀,以後走向統一","當時未滿20歲","沒有去投票(跳答95)","跳答","跳答","1-2萬元以下","20-30萬元以下"
1060514,"台北市大安區","都會核心",2,1,.7159991661,.9644775917,"0604","卷二",2013,102,04 Oct 13,"1549","女性",41,"台北市","台北市大同區","","高中職業科","已婚且與配偶同住","兩者都是","儘快與中國大陸統一","有,馬英九","有,馬英九","國民黨","跳答","3-4萬元以下","5-6萬元以下"
1060517,"台北市大安區","都會核心",2,1,.7159991661,.8175351323,"0604","卷二",2013,102,16 Oct 13,"1506","男性",83,"台北市","台北市大安區","","大學","單身且從沒結過婚(跳答30)","台灣人","永遠維持現狀","當時未滿20歲","當時未滿20歲(跳答95)","跳答","跳答","1萬元以下","30-40萬元以下"
1060521,"台北市大安區","都會核心",2,1,.7159991661,.8023900656,"0604","卷二",2013,102,25 Sep 13,"1557","女性",49,"嘉義市","嘉義市","","大學","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","跳答","7-8萬元以下","14-15萬元以下"
1060523,"台北市大安區","都會核心",2,1,.7159991661,.8768284404,"0604","卷二",2013,102,08 Oct 13,"1954","男性",60,"高雄市","高雄市大寮區","","碩士","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","都沒有/都支持","5-6萬元以下","10-11萬元以下"
1060524,"台北市大安區","都會核心",2,1,.7159991661,.8126725924,"0604","卷二",2013,102,14 Oct 13,"1403","男性",36,"新竹市","新竹市","","大學","已婚且與配偶同住","兩者都是","維持現狀,以後走向獨立","有,謝長廷","有,蔡英文","民進黨","都沒有/都支持","4-5萬元以下","4-5萬元以下"
1060525,"台北市大安區","都會核心",2,1,.7159991661,.8776970549,"0604","卷二",2013,102,29 Sep 13,"1807","女性",69,"台北市","台北市中正區","","大學","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","新黨","跳答","3-4萬元以下","9-10萬元以下"
1060529,"台北市大安區","都會核心",2,1,.7159991661,.8873514267,"0604","卷二",2013,102,12 Oct 13,"1345","女性",51,"台北市","台北市大安區","","高中普通科","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","國民黨","5-6萬元以下","5-6萬元以下"
1060541,"台北市大安區","都會核心",2,1,.7159991661,.8776970549,"0604","卷二",2013,102,04 Nov 13,"1929","女性",68,"新北市","新北市中和區","","二專","已婚且與配偶同住","兩者都是","永遠維持現狀","有,馬英九","有,馬英九","國民黨","都沒有/都支持","4-5萬元以下","10-11萬元以下"
1060706,"台北市大安區","都會核心",2,2,.7159991661,.8873514267,"0604","卷二",2013,102,20 Oct 13,"1014","女性",48,"台南市","台南市官田區","","高職","已婚且與配偶同住","台灣人","永遠維持現狀","有,謝長廷","有,蔡英文","民進黨","都沒有/都支持","3-4萬元以下","6-7萬元以下"
1060709,"台北市大安區","都會核心",2,2,.7159991661,.9644775917,"0604","卷二",2013,102,25 Oct 13,"1452","女性",38,"其他","青島市","","高職","已婚且與配偶同住","台灣人","儘快宣布獨立","有,謝長廷","有,蔡英文","民進黨","都沒有/都支持","1萬元以下","3-4萬元以下"
1060710,"台北市大安區","都會核心",2,2,.7159991661,.8023900656,"0604","卷二",2013,102,18 Oct 13,"2149","女性",46,"其他","香港","","三專","已婚且與配偶同住","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","跳答","拒答","不知道"
1060714,"台北市大安區","都會核心",2,2,.7159991661,.7690683768,"0604","卷二",2013,102,30 Sep 13,"1332","女性",48,"新北市","新北市瑞芳區","","小學","已婚且與配偶同住","兩者都是","維持現狀,以後走向獨立","有,馬英九","有,馬英九","國民黨","跳答","無收入","無收入"
1060715,"台北市大安區","都會核心",2,2,.7159991661,.8987227225,"0604","卷二",2013,102,23 Sep 13,"1933","男性",37,"台北市","台北市大安區","","高職","已婚且與配偶同住","台灣人","儘快宣布獨立","有,但不願意回答或忘記投給誰","有,但不願意回答或忘記投給誰","不知道/忘記了","都沒有/都支持","3-4萬元以下","不知道"
1060716,"台北市大安區","都會核心",2,2,.7159991661,.4019255474,"0604","卷二",2013,102,29 Sep 13,"1551","女性",25,"苗栗縣","苗栗縣頭屋鄉","","無/不識字(跳答23)","配偶去世","台灣人","永遠維持現狀","有,馬英九","有,馬英九","不知道/忘記了","跳答","1萬元以下","1萬元以下"
1060719,"台北市大安區","都會核心",2,2,.7159991661,.8873514267,"0604","卷二",2013,102,24 Oct 13,"2053","女性",47,"新竹縣","新竹縣關西鎮","","高中普通科","配偶去世","兩者都是","永遠維持現狀","有,馬英九","沒有去投票(跳答95)","跳答","都沒有/都支持","1-2萬元以下","1-2萬元以下"
1060722,"台北市大安區","都會核心",2,2,.7159991661,.8721316209,"0604","卷二",2013,102,29 Oct 13,"1952","女性",38,"花蓮縣","花蓮縣花蓮市","","大學","已婚且與配偶同住","兩者都是","維持現狀,以後走向統一","拒答有沒有去投票","拒答有沒有去投票","不知道/忘記了","泛綠","6-7萬元以下","15-16萬元以下"
1060723,"台北市大安區","都會核心",2,2,.7159991661,.9644775917,"0604","卷二",2013,102,26 Sep 13,"1505","女性",40,"台北市","台北市大安區","","高職","已婚且與配偶同住","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","不知道/忘記了","跳答","4-5萬元以下","9-10萬元以下"
1060724,"台北市大安區","都會核心",2,2,.7159991661,.8126725924,"0604","卷二",2013,102,29 Sep 13,"1402","男性",38,"台北市","台北市中正區","","大學","已婚且與配偶同住","兩者都是","維持現狀,以後走向獨立","有,馬英九","有,馬英九","國民黨","都沒有/都支持","無收入","無收入"
1060728,"台北市大安區","都會核心",2,2,.7159991661,.8768284404,"0604","卷二",2013,102,21 Oct 13,"0954","男性",61,"台北市","台北市大安區","","大學","已婚且與配偶同住","兩者都是","維持現狀,以後走向統一","有,馬英九","有,馬英九","國民黨","泛藍","3-4萬元以下","8-9萬元以下"
1060729,"台北市大安區","都會核心",2,2,.7159991661,.7690683768,"0604","卷二",2013,102,29 Sep 13,"1114","女性",44,"雲林縣","雲林縣台西鄉","","小學","已婚且與配偶同住","台灣人","儘快宣布獨立","有,謝長廷","有,蔡英文","民進黨","跳答","無收入","8-9萬元以下"
